39,0,0,13,0,0,0,0,0,7,0,40,0,0
50,11,0,13,14,6,16,0,0,0,0,13,0,0
38,22,6,9,28,12,0,0,0,0,0,40,0,0
53,22,12,7,14,12,16,20,0,0,0,40,0,0
28,22,0,13,14,18,32,20,50,0,0,40,2,0
37,22,18,14,14,6,32,0,50,0,0,40,0,0
49,22,24,5,42,24,0,20,50,0,0,16,4,0
52,11,6,9,14,6,16,0,0,0,0,45,0,1
31,22,18,14,0,18,0,0,50,9,0,50,0,1
42,22,0,13,14,6,16,0,0,8,0,40,0,1
37,22,30,10,14,6,16,20,0,0,0,80,0,1
30,0,0,13,14,18,16,40,0,0,0,40,6,1
23,22,0,13,0,0,48,0,50,0,0,30,0,0
32,22,36,12,0,30,0,20,0,0,0,50,0,0
40,22,42,11,14,36,16,40,0,0,0,40,8,1
34,22,48,4,14,42,16,60,0,0,0,45,10,0
25,11,6,9,0,48,48,0,0,0,0,35,0,0
32,22,6,9,0,54,64,0,0,0,0,40,0,0
38,22,12,7,14,30,16,0,0,0,0,50,0,0
43,11,18,14,28,6,64,0,50,0,0,45,0,1
40,22,54,16,14,18,16,0,0,0,0,60,0,1
54,22,6,9,56,24,64,20,50,0,0,20,0,0
35,33,24,5,14,48,16,20,0,0,0,40,0,0
43,22,12,7,14,42,16,0,0,0,7,40,0,0
59,22,6,9,28,60,64,0,50,0,0,40,0,0
56,44,0,13,14,60,16,0,0,0,0,40,0,1
19,22,6,9,0,36,48,0,0,0,0,40,0,0
54,55,30,10,14,66,16,40,0,0,0,60,12,1
39,22,6,9,28,6,0,0,0,0,0,80,0,0
49,22,6,9,14,36,16,0,0,0,0,40,0,0
23,44,36,12,0,72,0,0,0,0,0,52,0,0
20,22,30,10,0,30,48,20,0,0,0,44,0,0
45,22,0,13,28,6,48,0,0,0,7,40,0,0
30,33,30,10,14,0,48,0,0,0,0,40,0,0
22,0,30,10,14,24,16,20,0,0,0,15,0,0
48,22,12,7,0,54,64,0,0,0,0,40,14,0
21,22,30,10,0,54,48,0,0,0,0,40,0,0
19,22,6,9,70,0,32,0,50,0,0,25,0,0
31,22,30,10,14,30,16,0,0,0,0,38,8,1
48,11,36,12,14,18,16,0,0,0,0,40,0,0
31,22,24,5,14,54,16,0,0,0,0,43,0,0
53,11,0,13,14,18,16,0,0,0,0,40,0,0
24,22,0,13,14,60,16,0,0,0,0,50,0,0
49,22,6,9,56,0,64,0,50,0,0,40,0,0
25,22,6,9,0,12,0,0,0,0,0,35,0,0
57,33,0,13,14,18,16,20,0,0,0,40,0,1
53,22,6,9,14,54,16,0,0,0,0,38,0,0
44,22,18,14,28,6,64,0,50,0,0,40,0,0
41,0,42,11,14,36,16,0,0,0,0,40,0,0
29,22,42,11,0,18,0,0,0,0,0,43,0,0
25,22,30,10,14,6,32,80,50,0,0,40,0,0
18,22,6,9,0,24,48,0,50,0,0,30,8,0
47,22,60,15,14,18,32,0,50,0,7,60,16,1
50,33,0,13,28,6,0,0,0,0,0,55,0,1
47,66,6,9,28,6,0,0,0,0,0,60,0,0
43,22,30,10,14,60,16,0,0,0,0,40,0,1
46,22,66,3,14,54,16,0,0,0,0,40,10,0
